448.98,0.34,0.46016,1.4901,39.111,432,0.34,27.88,1.51,40.89,29.38,347.48,399.53,3.2376,412.6,413.73,212.11,198.32,196.25,203.42,212.82,55.08,0.36325,216.84,29.336,196.9
449,0.34,0.46,1.49,39.11,443,0.34,27.85,1.51,40.88,29.42,347.42,399.49,3.2403,412.58,413.77,212.18,198.55,196.16,203.32,212.62,54.729,0.36489,216.77,29.393,197.03
449,0.34,0.46,1.49,39.11,443,0.34,27.85,1.51,40.88,29.42,347.43,399.48,3.2425,412.6,413.87,212.45,198.69,196.22,203.33,212.64,55.023,0.36662,216.7,29.22,197.06
449,0.34,0.4775,1.4725,39.215,443,0.34,27.85,1.51,40.88,29.42,347.47,399.5,3.2439,412.61,413.8,212.64,198.65,196.12,203.31,212.54,52.665,0.36691,216.68,29.115,197.11
449,0.34,0.48,1.47,39.23,434,0.34,27.93,1.49,40.78,29.46,347.44,399.47,3.2444,412.55,413.85,212.42,198.6,196.19,203.19,212.43,51.996,0.36555,216.6,29.093,197.19
449,0.34,0.48,1.47,39.23,434,0.34,27.93,1.49,40.78,29.46,347.54,399.55,3.2447,412.65,413.93,212.34,198.36,196.36,203.35,212.57,50.841,0.36349,216.54,29.081,197.2
449,0.34,0.48,1.47,39.23,434,0.34,27.93,1.49,40.78,29.46,347.53,399.64,3.2448,412.63,413.86,212.02,198.21,196.29,203.3,212.54,51.356,0.36184,216.57,28.99,196.98
446,0.34,0.48,1.46,39.29,429,0.34,27.82,1.48,40.97,29.39,347.5,399.67,3.2449,412.55,413.92,211.74,198.2,196.2,203.26,212.45,51.221,0.36071,216.43,28.966,197.06
446,0.34,0.48,1.46,39.29,429,0.34,27.82,1.48,40.97,29.39,347.43,399.72,3.2449,412.7,413.86,211.76,198.19,196.18,203.34,212.4,51.361,0.36099,216.42,28.901,196.96
446,0.34,0.48,1.46,39.29,429,0.34,27.82,1.48,40.97,29.39,347.41,399.87,3.2447,412.5,413.8,211.88,198.33,196.02,203.3,212.42,50.968,0.36103,216.55,29.002,196.96
452,0.34,0.48,1.46,39.31,425,0.34,27.91,1.47,40.97,29.31,347.44,400.02,3.244,412.68,413.83,211.89,198.22,196.11,203.23,212.42,50.95,0.36046,216.49,28.919,196.99
452,0.34,0.48,1.46,39.31,425,0.34,27.91,1.47,40.97,29.31,347.39,400.01,3.2435,412.77,413.85,211.9,198.46,196.06,203.28,212.41,50.351,0.36013,216.41,28.831,197.01
452,0.34,0.48,1.46,39.31,425,0.34,27.91,1.47,40.97,29.31,347.46,400.18,3.2462,412.97,413.88,212.01,198.45,196.05,203.31,212.53,50.705,0.36007,216.43,28.845,196.99
448,0.34,0.52,1.46,39.35,431,0.34,27.89,1.47,41,29.3,347.49,400.07,3.2474,412.88,414.02,211.86,198.54,196,203.26,212.62,51.305,0.35857,216.53,28.781,196.95
448,0.34,0.52,1.46,39.35,431,0.34,27.89,1.47,41,29.3,347.54,400.14,3.2453,412.99,414.14,212.04,198.4,196.04,203.21,212.62,52.995,0.36421,216.63,28.74,196.99
448,0.34,0.52,1.46,39.35,431,0.34,27.89,1.47,41,29.3,347.43,400.09,3.2432,413.1,414.19,212.09,198.32,196.04,203.34,212.5,53.736,0.36679,216.63,28.676,196.96
451,0.34,0.51,1.42,39.36,433.25,0.34,27.875,1.4475,41.052,29.285,347.45,399.95,3.2422,413.14,414.27,211.82,198.35,195.9,203.32,212.57,54.605,0.36619,216.72,28.75,196.88
451,0.34,0.51,1.42,39.36,434,0.34,27.87,1.44,41.07,29.28,347.46,399.92,3.2416,413.18,414.4,212.01,198.21,195.97,203.43,212.43,55.767,0.36492,216.58,28.65,196.85
451,0.34,0.51,1.42,39.36,434,0.34,27.87,1.44,41.07,29.28,347.52,399.78,3.2416,413.18,414.5,211.97,198.26,195.93,203.43,212.4,56.706,0.36246,216.62,28.78,196.93
449.02,0.34,0.46039,1.42,39.33,434,0.34,27.87,1.44,41.07,29.28,347.63,399.7,3.2418,413.27,414.53,211.88,198.32,196.14,203.29,212.6,57.419,0.36097,216.38,28.708,196.92
449,0.34,0.46,1.42,39.33,443,0.34,27.89,1.43,41.05,29.29,347.61,399.8,3.2417,413.14,414.51,212.09,198.51,196.04,203.26,212.54,59.233,0.36084,216.42,28.533,196.88
449,0.34,0.46,1.42,39.33,443,0.34,27.89,1.43,41.05,29.29,347.57,399.76,3.2402,413.01,414.54,212.32,198.76,195.99,203.29,212.49,58.541,0.363,216.34,28.702,197.14
449,0.34,0.46,1.42,39.33,443,0.34,27.89,1.43,41.05,29.29,347.53,399.74,3.2409,412.91,414.54,212.44,198.63,195.9,203.28,212.47,57.894,0.36402,216.33,28.536,197.08
449,0.34,0.54,1.45,39.24,432,0.34,27.9,1.45,40.99,29.32,347.57,399.93,3.2414,412.81,414.56,212.15,198.5,196.05,203.26,212.57,56.655,0.36487,216.39,28.587,197.06
449,0.34,0.54,1.45,39.24,432,0.34,27.9,1.45,40.99,29.32,347.61,400.09,3.2417,412.87,414.47,211.88,198.21,196.05,203.29,212.58,55.235,0.36436,216.45,28.563,197.07
449,0.34,0.54,1.45,39.24,432,0.34,27.9,1.45,40.99,29.32,347.54,400.02,3.2413,412.9,414.44,211.46,197.92,196.18,203.37,212.49,54.816,0.36443,216.49,28.514,196.82
451,0.34,0.48,1.46,39.23,442,0.34,27.88,1.47,40.95,29.37,347.61,400.03,3.2408,412.92,414.42,211.35,197.77,196,203.27,212.47,53.862,0.36414,216.44,28.471,196.69
451,0.34,0.48,1.46,39.23,442,0.34,27.88,1.47,40.95,29.37,347.55,400.14,3.2407,413.06,414.36,211.58,197.87,196.09,203.38,212.56,54.111,0.36345,216.54,28.461,196.71
451,0.34,0.48,1.46,39.23,442,0.34,27.88,1.47,40.95,29.37,347.52,400.11,3.2407,413.06,414.31,211.73,198.11,196.04,203.39,212.46,55.328,0.36336,216.34,28.465,196.72
451,0.34,0.53,1.45,39.24,435,0.34,27.9,1.46,40.93,29.37,347.43,399.93,3.2407,413.02,414.23,211.76,198.12,195.83,203.32,212.42,55.196,0.36363,216.38,28.377,196.73
451,0.34,0.53,1.45,39.24,435,0.34,27.9,1.46,40.93,29.37,347.33,399.92,3.2403,413.08,414.31,211.82,198.17,195.75,203.25,212.49,55.538,0.36483,216.35,28.342,196.75
451,0.34,0.53,1.45,39.24,435,0.34,27.9,1.46,40.93,29.37,347.5,399.87,3.2398,413.09,414.39,212.02,198.33,195.83,203.2,212.45,55.155,0.36574,216.41,28.374,196.6
449,0.34,0.52,1.44,39.19,428.22,0.34,27.948,1.46,40.891,29.36,347.66,399.91,3.2389,413.09,414.48,212.33,198.54,195.88,203.2,212.51,54.181,0.36634,216.34,28.323,196.76
449,0.34,0.52,1.44,39.19,428,0.34,27.95,1.46,40.89,29.36,347.48,399.79,3.2385,413.02,414.35,212.31,198.81,195.93,203.07,212.46,53.366,0.36687,216.43,28.222,197.06
449,0.34,0.52,1.44,39.19,428,0.34,27.95,1.46,40.89,29.36,347.5,399.88,3.2376,412.93,414.35,212.33,198.78,195.92,203.03,212.29,53.488,0.36777,216.42,28.215,197.08
452,0.34,0.53,1.44,39.12,428,0.34,27.95,1.46,40.89,29.36,347.59,399.8,3.2369,412.97,414.31,212.38,198.79,196.01,203.09,212.31,51.519,0.3666,216.47,28.127,196.96
452,0.34,0.53,1.44,39.12,431,0.34,27.98,1.45,40.87,29.37,347.6,399.92,3.2362,412.88,414.31,212.23,198.57,195.98,203.1,212.29,52.045,0.36448,216.55,28.168,197.14
452,0.34,0.53,1.44,39.12,431,0.34,27.98,1.45,40.87,29.37,347.55,399.95,3.2353,412.88,414.33,211.89,198.31,196.04,203.2,212.23,52.955,0.3631,216.44,28.177,197.05
451.03,0.34,0.50094,1.4303,39.275,431,0.34,27.98,1.45,40.87,29.37,347.5,399.89,3.2342,412.91,414.28,211.61,198.16,196.02,203.23,212.29,55.163,0.36301,216.44,28.107,196.85
